popularity,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
0.660405,121.0,2014-07-25,393,6.3,2014,13816365.761571802,29064894.548890997
0.646336999999999,89.0,2014-12-04,234,4.7,2014,5987091.83001448,12771328.093553301
0.6352140000000001,124.0,2014-08-20,173,6.8,2014,6079200.93509163,1431375.49289884
0.632047999999999,112.0,2014-10-09,247,6.5,2014,4605455.25385729,2257452.31741902
0.615729,87.0,2014-09-12,137,5.3,2014,921091.050771459,8582.726411088459
0.602735,85.0,2014-04-10,480,6.8,2014,1842182.10154291,4269533.34764094
0.599079,107.0,2014-09-12,63,6.8,2014,33159277.827772498,48287768.187173
0.590256999999999,90.0,2014-12-30,270,4.9,2014,921091.050771459,24410131.4489038
0.574398,112.0,2014-03-20,222,6.2,2014,46054552.5385729,74040166.0174509
0.5594720000000001,102.0,2014-09-19,206,4.9,2014,2579054.94216008,1682561.62789947
0.548656,92.0,2014-09-05,56,5.9,2014,5526546.30462875,940361.196644649
0.540852,99.0,2014-04-16,159,6.1,2014,11053092.6092575,93336884.4463644
0.49583999999999995,99.0,2014-01-10,399,4.4,2014,64476373.5540021,56443954.8333792
0.485296,94.0,2014-07-20,111,5.7,2014,27632731.5231437,23315013.1393638
0.47065100000000004,90.0,2014-08-15,141,4.8,2014,2210618.5218515,81307.47032474901
0.44645799999999997,120.0,2014-09-07,15,5.4,2014,5066000.77924302,4605455.25385729
0.407983,86.0,2014-01-20,58,5.7,2014,5526546.30462875,29706.1074784303
0.403579,99.0,2014-01-19,146,7.0,2014,921091.050771459,363830.965054726
0.40115300000000004,85.0,2014-04-04,142,6.1,2014,292906.954145324,111616.892441434
0.39860100000000004,116.0,2014-09-10,95,6.9,2014,6447637.35540021,13465178.6133711
0.386307,98.0,2014-03-25,92,5.7,2014,4605455.25385729,9606709.77986845
0.382434,89.0,2014-07-02,223,5.7,2014,11974183.660028901,41725424.5999471
0.350612,111.0,2014-12-25,405,5.6,2014,23027276.269286398,36080177.2916054
0.34162,112.0,2014-05-30,63,6.7,2014,11697856.344797501,3159358.88378502
0.340308,118.0,2014-04-10,207,6.5,2014,3684364.20308583,2178810.48459521
0.318941,139.0,2014-03-25,14,4.8,2014,460545.525385729,13816365.761571802
0.317225,91.0,2014-03-14,60,5.9,2014,4605455.25385729,69213.5448281198
0.300442,113.0,2014-03-21,146,6.1,2014,15658547.8631148,27438381.311431
0.283225,89.0,2014-01-08,164,4.5,2014,6447637.35540021,33559008.31653111
0.751476,107.0,2014-09-09,65,6.0,2014,4605455.25385729,3697062.36431177
0.19104000000000002,112.0,2014-02-12,20,5.1,2014,7368728.40617167,48897.039521253704
0.151591,94.0,2014-06-27,20,5.2,2014,5434437.19955161,21185094.1677435
12.037933,121.0,1977-03-20,4428,7.9,1977,39575591.3582738,2789712242.27745
2.379469,125.0,1977-07-07,279,6.2,1977,50368934.4559849,667167740.424415
